place,water_tap_id,lat,lon
Avinurme elamu Põllu tn,595,,
Avinurme lasteaed,595,,
Avinurme peale veepuhastusseadmeid,595,,
BAUROC tehase söökla,1121,,
"Baar ""Lambi all""",306,,
"Baar Prowints,",599,,
Baltfleks AS,1087,,
Baraki veevõtukoht,1072,,
Bekkeri Pagariäri,306,,
Benita Kodu AS,1213,59.3300808,24.3476059
Bernhard SPA Hotelli köök,197,,
Betooni VTJ,989,,
Bon Soya tootmisruumi valamu,2414,58.821448000000004,24.592420571895428
Briketi 5a,240,59.371342,27.56826255190282
Burger & Sushi,306,46.5763931,11.3210891
Büroohoone,2106,59.42707325,24.655878929784436
Büroohoone J. Sütiste tee 21,306,,
Büroohoone Liimi tn 1,306,,
Büroohoone Raekoja plats 18,306,,
Büroohoone Tuha tn 3,306,,
Büroohoone Uus-Sadama tn 19,306,,
C.R Jakobsoni Torma Põhikooli õpetajate tuba,323,59.3482618,26.3580676
C.R.Jakobsoni nim.Torma Põhikool koolimaja kraan,323,,
C.R.Jakobsoni nim.Torma Põhikool söökla,323,,
CAZEELA OÜ söökla,402,,
Cantervilla Lossi köök,1475,58.0710957,26.5945833
Catering kohvik,675,,
Cautes,220,45.4431017,0.7605856
Cautes tootmine,220,,
Cinema Caffe,289,44.7696353,17.1891072
Comarket Szolnok,306,,
Coop Turba,1321,19.2995466,-99.0639759
Cristella OÜ Võru Leivatööstus,654,57.841144099999994,27.028296789406795
DGM SHIPPING AS kalakäitlusruum,1409,,
DGM Shipping AS tootmistsehh,1409,,
DGM Shipping AS uue tsehhi uus kraan,1409,,
DGM köök,1409,,
DGM veevärk,1409,,
Dagen Haus külalistemaja,1561,49.455895299999995,10.594744699587029
"Diagnostika kliinik Magdaleena üksus, Ida-Tallinna Keskhaigla",306,-23.5566046,-46.6568304
Diby Kämping-Puhkemaja,1701,,
Dirhami kohvik,1474,59.2096782,23.4976341
Dirhami külalistemaja,1474,59.207885,23.4969496
Dirhami pumpla,1474,,
Dirhami sadamahoone,1474,,
Doberani Rannamaja köök,1973,,
E-Betoonelement  OÜ Tamsalu tehase olmehoone õppeklass,938,,
E-Betoonelement  OÜ Tamsalu tehase olmehoone õppeklass,1135,,
EBS Gümnaasium,306,,
EEJ keemia tsehh,535,,
"EEJ, II korruse kesksöökla",535,47.2963553,106.9925614
EELK Laagrikeskus Talu,1795,,
EELK Räpina Koguduse Hooldekodu,409,,
EGCC hoone sisend,828,,
EKE tn 6 Ülde,602,50.9078719,3.822086
EMÜ Peahoone,276,,
ESKUS - Esku-Kamari Kool,411,43.70969635,24.466958103649706
"ESTKO, Kullerkupu tn.2, Kangru al.",1349,,
EVA Ringtee 29,1803,59.38585855,24.2524536159071
